3;106;195
4;136;267
5;141;292
6;197;409
7;219;431
8;275;515
9;327;596
10;396;707
11;459;787
12;525;871
13;601;961
14;688;1058
15;786;1153
16;885;1259
17;990;1349
18;1107;1444
19;1227;1541
20;1590;1981
21;1511;1812
22;1598;1835
23;2110;2380
24;1891;2028
25;2269;2378
26;2217;2254
27;2396;2405
28;2586;2476
29;2856;2648
30;3236;2908
31;3473;3041
32;4835;4123
33;4741;3990
34;3991;3279
35;5120;3979
36;4549;3604
37;4473;3503
38;4992;3818
39;5102;3701
40;5857;4243
41;6111;4234
42;7574;5330
43;6465;4377
44;6481;4364
45;7116;4706
46;6879;4510
47;8968;5653
48;12829;7846
49;12611;7260
50;8984;5430
51;10220;6032
52;11487;6696
53;13876;7403
54;15553;8645
55;11875;6611
56;14001;7572
57;15383;8131
58;15516;8242
59;14371;7592
60;13427;7090
61;13705;7037
62;13525;6971
63;15895;8035
64;17484;9066
65;18821;8652
66;15494;7627
67;18201;8639
68;16751;8023
69;15522;7359
70;18912;8477
71;18721;8489
72;16691;7641
73;16914;7652
74;18532;8331
75;17853;7890
76;19579;8558
77;18869;8246
78;19501;8352
79;19754;8398
80;20161;8516
81;20773;8680
82;22297;8894
83;22491;9134
84;22541;9188
85;22802;9125
86;23742;9448
87;25064;9831
88;24577;9520
89;25442;9878
90;25466;9705
91;26071;9909
92;27840;10409
93;27825;10269
94;28216;10412
95;28353;10363
96;28932;10515
97;30602;10968
98;30131;10728
99;31189;10986
100;31844;11164
